[1580,WrappedArray([640,5.7868204], [1341,5.7727046], [5072,5.496954], [2441,5.4852257], [3254,5.360487], [5379,5.3576975], [1751,5.2752166], [283,5.260925], [2867,5.2539496], [41,5.2097774])]
[467,WrappedArray([2151,9.676912], [1394,8.262749], [2252,8.191233], [1384,8.184874], [2432,7.9507637], [1914,7.678447], [2735,7.4951487], [5525,7.433943], [1766,7.26562], [365,7.2111206])]
[2077,WrappedArray([3144,6.6096463], [4565,6.2133737], [2697,6.1603794], [5051,5.8963647], [2640,5.804621], [606,5.5848894], [3286,5.550008], [399,5.54382], [5549,5.453286], [898,5.451443])]
[3867,WrappedArray([1277,13.47527], [3573,13.329715], [4583,13.134603], [4056,12.460201], [2992,12.448024], [87,12.440597], [540,12.436895], [1596,12.224816], [395,12.120224], [738,12.102819])]
[448,WrappedArray([589,6.9425654], [1416,6.6931443], [1083,6.4730663], [2640,6.2455277], [4424,6.1097836], [5328,6.098391], [1226,6.004422], [3723,5.9138274], [1914,5.859104], [5588,5.8096137])]
[928,WrappedArray([4383,7.2979093], [2640,7.1459746], [3144,7.117241], [4751,6.985732], [3870,6.263023], [1414,6.2350197], [399,6.1500254], [799,5.9740167], [2269,5.967279], [2441,5.926864])]
[2068,WrappedArray([2640,7.2874913], [3714,6.8234158], [4751,6.430571], [2037,6.321639], [4,6.239043], [703,6.183181], [357,6.142638], [2134,6.0824294], [1847,6.0524592], [1083,6.002225])]
[3718,WrappedArray([4383,10.01748], [4427,9.418481], [5642,9.105309], [2879,8.763791], [1394,8.677388], [1327,8.52589], [947,8.470282], [1083,8.426671], [1384,8.365324], [878,8.192724])]
[69,WrappedArray([407,6.331045], [5760,6.258946], [614,6.246432], [3857,5.941594], [4358,5.908521], [2434,5.904885], [3915,5.809133], [4427,5.797317], [2108,5.777593], [3805,5.776939])]
[129,WrappedArray([540,11.077727], [5642,10.871988], [4056,9.764404], [1596,9.704407], [4974,9.557657], [3222,9.480626], [4996,9.361041], [3725,9.092969], [5756,8.938242], [5274,8.797969])]
[3469,WrappedArray([2640,6.7486324], [2269,6.461534], [2252,6.4483123], [365,6.348134], [2819,6.3437586], [4,6.3401747], [2151,6.315546], [2253,6.085719], [3373,6.075894], [4236,6.0580087])]
[1020,WrappedArray([3222,5.6137023], [653,5.558694], [805,5.5142517], [5072,5.443792], [1341,5.4200344], [1713,5.285759], [5051,5.241472], [2364,5.2367926], [1282,5.2194786], [283,5.217505])]
[1230,WrappedArray([2134,6.1331167], [2640,6.099557], [3714,5.9523], [4,5.8793197], [1411,5.851015], [1452,5.7309294], [3703,5.701378], [902,5.662847], [128,5.6371403], [3405,5.618327])]
[2790,WrappedArray([4392,6.830364], [4056,6.6299253], [745,6.511208], [1237,6.4875803], [206,6.366348], [4583,6.279053], [708,6.2013187], [3722,6.174474], [614,6.1275125], [4623,6.066399])]
[3430,WrappedArray([3165,6.9829903], [775,6.7205496], [4850,6.597701], [89,6.590753], [4264,6.5424466], [4549,6.530272], [158,6.5141726], [3375,6.4447594], [3571,6.3640676], [3723,6.3368506])]
[1261,WrappedArray([947,6.3924437], [2855,6.246565], [3009,6.1182103], [1445,6.031542], [4263,6.021856], [206,5.874895], [290,5.869413], [906,5.8342986], [4267,5.7999926], [4052,5.75451])]
[2751,WrappedArray([589,9.72065], [2151,9.650579], [5642,9.65051], [4974,9.418003], [2977,9.142811], [1394,8.731845], [2432,8.63554], [1914,8.399118], [1754,8.321629], [1083,8.165259])]
[3202,WrappedArray([395,1.1545177], [87,1.1346976], [4597,1.117127], [4583,1.1122298], [2992,1.1037459], [210,1.0867295], [640,1.0782259], [4427,1.0580422], [3111,1.0325657], [448,1.0301554])]
[543,WrappedArray([947,6.2072463], [1394,6.10863], [2138,6.0749974], [5642,6.011945], [878,5.889734], [1341,5.793714], [4427,5.7824125], [3009,5.6740584], [2755,5.629777], [1083,5.5887823])]
[2143,WrappedArray([1596,7.4826403], [3222,6.882053], [4191,6.622932], [5243,6.5468993], [3480,6.4731917], [1277,6.30465], [68,6.2949214], [527,6.101347], [762,5.958513], [5756,5.938656])]
[2194,WrappedArray([3149,5.5274954], [4175,5.1927285], [527,5.1707816], [5579,5.163144], [4755,5.152495], [567,5.1449585], [213,5.1385493], [1557,5.124542], [1341,5.123985], [283,5.118819])]
[2394,WrappedArray([3480,6.201516], [5258,6.1600513], [2441,5.897762], [527,5.6901293], [5856,5.506895], [3222,5.453661], [1145,5.318985], [1282,5.3148284], [41,5.304818], [3141,5.2552576])]
[2345,WrappedArray([4383,7.7099905], [5145,6.4149175], [2441,6.2799907], [3764,5.964817], [2037,5.9211507], [5152,5.8963985], [2182,5.8727107], [2479,5.863374], [221,5.851118], [1869,5.7924747])]
[2585,WrappedArray([2640,8.322662], [2037,8.245125], [4441,8.164081], [3186,7.335403], [4751,7.307887], [2851,6.903055], [4383,6.889624], [5145,6.8814373], [4723,6.8689804], [2707,6.855126])]
[1876,WrappedArray([3549,5.3692775], [775,5.356263], [2697,5.262728], [4264,5.148549], [1070,5.1235332], [4583,5.0388107], [6027,4.9946737], [283,4.965254], [5003,4.9293647], [3456,4.916385])]
[2516,WrappedArray([6031,5.6680574], [1070,5.6404905], [4583,5.0806446], [2763,5.0128207], [5816,4.7515683], [4894,4.7482495], [87,4.6644], [3522,4.6598563], [3144,4.6464753], [2441,4.6338553])]
[97,WrappedArray([4056,11.096176], [1445,10.782631], [5756,9.547103], [3703,8.992708], [5202,8.836664], [4669,8.802043], [341,8.798589], [3222,8.631386], [540,8.485861], [1098,8.474354])]
[1317,WrappedArray([5297,9.478494], [5760,8.992037], [108,8.829369], [3870,8.401033], [5697,8.27468], [3068,8.2441845], [2044,8.152089], [4209,8.010169], [3448,7.854755], [1918,7.6645684])]
[2258,WrappedArray([4427,6.865854], [3725,6.5601916], [640,6.5440397], [3856,6.194974], [395,6.14135], [5515,6.130869], [5030,6.1108947], [1456,6.071578], [3932,6.059218], [2828,6.0337157])]
[1690,WrappedArray([3222,6.5052986], [775,6.501587], [6027,6.443494], [5052,6.4380517], [1307,6.369402], [5328,6.3238688], [4056,6.1397657], [3897,5.9398212], [2297,5.9160085], [5760,5.9121075])]
[2480,WrappedArray([2640,5.7893553], [2920,5.530917], [3144,5.5230713], [3714,5.4712405], [2037,5.2758965], [1385,5.1698017], [2851,5.168341], [2673,5.12026], [1515,5.1135607], [2252,5.0036683])]
[3840,WrappedArray([4997,5.9429603], [5004,5.881881], [5588,5.673817], [5141,5.5657516], [4158,5.3934774], [3485,5.3637447], [527,5.3207107], [3587,5.2491145], [745,5.228938], [3009,5.215088])]
[661,WrappedArray([3480,6.871046], [1596,6.5601397], [68,6.408446], [527,6.275589], [2977,6.258391], [3856,6.1100674], [1226,6.067226], [5258,6.024078], [128,5.9311156], [3222,5.930114])]
[1791,WrappedArray([5052,8.444595], [1907,8.065361], [3897,7.9017787], [3645,7.740695], [2373,7.5233994], [341,7.470001], [1341,7.335045], [4974,7.2529736], [407,7.247088], [5247,7.2395196])]
[2851,WrappedArray([653,6.6743336], [3222,6.510202], [2821,5.9910045], [1460,5.6687384], [1385,5.6586237], [762,5.6341324], [4850,5.6084623], [5052,5.582199], [5243,5.5501], [589,5.5025015])]
[533,WrappedArray([3897,7.182775], [1907,7.0852275], [5052,6.741356], [3222,6.6592746], [341,6.582091], [1460,6.567044], [4974,6.439295], [407,6.3838553], [2549,6.3795204], [3645,6.334836])]
[3933,WrappedArray([4504,10.307813], [2364,10.256867], [2558,9.888641], [5783,9.471535], [4264,9.096168], [572,8.829184], [3642,8.734888], [325,8.578466], [4283,8.359247], [4778,8.313683])]
[524,WrappedArray([89,6.554523], [4703,6.2302656], [2252,6.1342435], [5919,5.971897], [3144,5.90187], [3149,5.819852], [1414,5.8001785], [5004,5.7531047], [5560,5.716448], [754,5.6883163])]
[1134,WrappedArray([2920,4.1290245], [2134,4.004912], [5407,3.9319334], [3144,3.9216669], [5919,3.7509863], [1414,3.7447896], [1452,3.7271347], [1459,3.7140174], [2159,3.6960375], [3405,3.6745996])]
[1695,WrappedArray([89,9.179324], [3144,8.916768], [5549,8.727875], [4745,8.44573], [4703,8.18378], [2884,8.09881], [2252,8.056782], [4419,7.90275], [468,7.874538], [1314,7.804135])]
[1965,WrappedArray([1445,6.2521334], [870,6.0124507], [269,5.9431376], [4424,5.875548], [5245,5.8361816], [3703,5.7627616], [2134,5.659871], [1452,5.5702724], [5202,5.5690084], [2467,5.483799])]
[3715,WrappedArray([3222,8.266807], [5328,8.060001], [745,7.313695], [1416,7.233025], [775,7.111153], [5863,7.0914464], [4392,6.870796], [5756,6.8540907], [89,6.844797], [1596,6.8367524])]
[1006,WrappedArray([5297,6.058938], [775,5.918865], [2697,5.916315], [6027,5.869199], [4850,5.820102], [3456,5.786842], [4583,5.7665834], [5051,5.6705317], [3222,5.6574535], [3549,5.6389427])]
[1746,WrappedArray([2713,10.058798], [2138,8.948], [572,8.784228], [4504,8.226135], [4565,7.8079557], [898,7.582662], [2558,7.4043093], [650,7.192277], [2373,7.1344137], [4199,7.0691385])]
[2966,WrappedArray([2441,6.337605], [1596,6.0696945], [3856,5.934954], [41,5.7384663], [5221,5.7053595], [1964,5.666145], [1456,5.659874], [1341,5.641174], [5152,5.600147], [3136,5.562866])]
[3656,WrappedArray([2821,6.2215], [2640,6.081439], [2549,5.9344172], [144,5.790243], [1341,5.7659574], [653,5.674403], [3448,5.647541], [668,5.6222625], [2673,5.5693045], [2139,5.5218654])]
[2827,WrappedArray([653,5.4707184], [5072,5.1538005], [1808,5.0852933], [1596,5.0805826], [4565,5.010785], [144,4.8508344], [5051,4.761269], [4441,4.719838], [1277,4.7157164], [234,4.672364])]
[3357,WrappedArray([4441,9.874818], [668,8.333971], [2502,7.766964], [2549,7.664624], [418,7.4881554], [4125,7.4727297], [5642,7.436028], [41,7.3127575], [2560,7.2446575], [1657,7.2254896])]
[2328,WrappedArray([979,5.653011], [2195,5.5989633], [1070,5.53846], [4056,5.4943137], [5052,5.415025], [4583,5.288698], [3456,5.251721], [5882,5.2492714], [4035,5.244913], [2920,5.1848183])]
[2020,WrappedArray([3144,6.8082156], [2640,6.434148], [2920,6.2992053], [4383,6.039807], [2441,6.0144663], [2252,5.906813], [4751,5.8816285], [5125,5.783685], [345,5.729608], [761,5.6686835])]
[2800,WrappedArray([206,15.638488], [378,13.157269], [527,12.998735], [1332,12.966753], [5849,12.630052], [3480,11.779938], [5258,11.664025], [5803,11.379295], [5199,10.708851], [1529,10.4603815])]
[1081,WrappedArray([2640,6.8635216], [2697,6.0722365], [4565,5.974747], [283,5.795303], [5052,5.7587557], [2295,5.74179], [3144,5.6495275], [2548,5.633824], [4751,5.609884], [4657,5.5899568])]
[1581,WrappedArray([5328,9.846161], [1394,7.9084325], [423,7.712108], [3667,7.7078915], [1083,7.5930214], [430,7.525847], [4399,7.193277], [5429,7.066444], [5783,6.991185], [2204,6.9911737])]
[3361,WrappedArray([3870,5.5297046], [2269,5.4082017], [1417,5.1647506], [3379,5.1492724], [878,5.1217585], [1341,5.0587034], [4012,5.034273], [407,4.9787774], [693,4.9721675], [1520,4.9685383])]
[312,WrappedArray([1394,7.905706], [1083,7.1989336], [4383,6.780962], [947,6.28687], [4399,6.2542], [430,6.1760793], [3667,5.910877], [5642,5.857163], [2138,5.7713494], [2151,5.559021])]
[234,WrappedArray([540,6.3009267], [3222,6.0256295], [606,5.9290004], [4056,5.8199806], [5052,5.7630486], [653,5.7495103], [5637,5.6807323], [1460,5.648499], [189,5.4277887], [5662,5.375748])]
[264,WrappedArray([1445,7.1046624], [870,5.8864055], [5245,5.229385], [5119,5.1874185], [882,5.135023], [472,5.1127434], [3350,5.0210905], [269,4.994006], [3359,4.9834633], [5202,4.974939])]
[1714,WrappedArray([3009,2.3279805], [1341,2.2864404], [3723,2.2749383], [3870,2.2713473], [283,2.2647], [128,2.2628853], [1081,2.2593393], [527,2.2489958], [882,2.2476346], [902,2.2458062])]
[1905,WrappedArray([5725,3.5678008], [5642,3.441521], [2037,3.2707655], [2441,3.2542217], [1964,3.2217488], [4017,3.189665], [5274,3.1819253], [3459,3.133576], [4125,3.132721], [5152,3.127059])]
[1985,WrappedArray([46,6.853938], [3396,6.5412974], [4894,6.3288994], [2357,6.2464495], [979,6.0894065], [650,6.055354], [1070,6.0119963], [2155,6.0072656], [4201,5.9886394], [3522,5.857721])]
[1356,WrappedArray([2441,6.0861435], [6031,5.5841208], [527,5.522697], [89,5.456587], [5849,5.440294], [4583,5.3867445], [3254,5.351613], [640,5.306874], [5072,5.3031526], [4143,5.2668605])]
[3866,WrappedArray([527,11.505427], [2640,11.4305525], [3570,11.015125], [4672,10.536166], [1226,10.295602], [4751,10.161453], [4811,10.0125065], [5078,9.807593], [5320,9.457255], [5719,9.439626])]
[1347,WrappedArray([947,7.374756], [3009,7.024896], [4392,6.6379786], [4191,6.556897], [4807,6.322155], [206,6.287034], [2401,6.2663517], [745,6.2621446], [1237,6.2268834], [3818,6.136424])]
[3537,WrappedArray([1394,8.391239], [4383,8.263181], [5642,7.48553], [221,7.4316597], [1083,7.1445713], [4398,6.689374], [2755,6.614297], [947,6.5986276], [878,6.5483603], [3034,6.545459])]
[1058,WrappedArray([5666,11.830164], [440,11.394949], [1012,11.240089], [4839,11.095507], [2482,10.67261], [5241,10.532963], [2432,10.527537], [2441,10.295679], [3583,10.065653], [4,10.035937])]
[2358,WrappedArray([2441,4.986194], [2160,4.601392], [283,4.5918484], [640,4.558297], [3820,4.5563245], [3870,4.519513], [2339,4.5127234], [2694,4.5005965], [3149,4.485557], [3351,4.480629])]
[239,WrappedArray([1394,6.471203], [3480,6.316024], [1083,6.1440597], [5328,6.044318], [2902,5.834893], [5783,5.6875215], [1713,5.6593137], [3009,5.650331], [913,5.569768], [4398,5.456625])]
[389,WrappedArray([4974,10.439579], [5642,9.707883], [1596,9.368095], [1145,8.995313], [41,8.833043], [1213,8.800656], [1083,8.741897], [2277,8.662454], [3480,8.567882], [1657,8.517205])]
[869,WrappedArray([5320,9.692291], [3573,9.407216], [144,9.265939], [5078,8.947677], [2869,8.787488], [3714,8.741243], [4,8.569695], [2191,8.326228], [211,8.173945], [200,8.097719])]
[1209,WrappedArray([3144,7.594278], [121,6.723183], [650,6.7059555], [559,6.68365], [5882,6.631793], [292,6.6039577], [1414,6.535489], [2920,6.4665713], [3714,6.3993278], [3494,6.3675246])]
[2919,WrappedArray([2640,7.8217025], [3144,7.39115], [144,7.3278866], [3714,7.0398297], [2549,6.622758], [2696,6.583926], [468,6.5335536], [3573,6.483447], [5741,6.4313407], [4209,6.398814])]
[3799,WrappedArray([4504,6.007899], [6031,5.4804673], [206,5.114966], [2713,5.0878696], [290,4.786145], [5114,4.589574], [5849,4.5473547], [527,4.519652], [3979,4.497483], [5320,4.4071803])]
[1960,WrappedArray([2640,7.3251944], [3144,6.9247503], [4751,6.3897943], [4,6.0802665], [3714,5.98911], [1414,5.905838], [2920,5.8524256], [2252,5.8417964], [1515,5.8006606], [5945,5.7813735])]
[2850,WrappedArray([4441,12.985609], [41,12.148361], [785,11.857377], [3186,11.607883], [423,11.541078], [606,10.738874], [2707,10.703378], [4125,10.3878565], [2052,9.843899], [4565,9.843143])]
[2512,WrappedArray([2549,14.54437], [3642,12.083069], [5297,11.815499], [4753,11.615787], [2821,11.125164], [5010,10.962322], [2502,10.849103], [3744,10.472641], [5590,10.2821], [1014,10.168222])]
[63,WrappedArray([1394,8.317877], [153,7.1306458], [947,6.818912], [4383,6.608857], [4894,6.597675], [21,6.3575244], [3463,6.340865], [46,6.338436], [2713,6.280807], [5525,6.2491474])]
[2853,WrappedArray([1394,13.054073], [4383,10.827734], [153,10.549], [5525,9.940761], [2441,9.011642], [1582,9.000289], [2138,8.813736], [4597,8.738819], [430,8.421978], [1664,8.411277])]
[635,WrappedArray([5642,8.53298], [2673,7.8536673], [2851,7.430376], [589,7.338032], [1596,7.3035994], [2037,7.2133784], [4996,7.196792], [540,7.0988255], [5274,7.0423565], [3498,7.040446])]
[885,WrappedArray([4383,9.989738], [3915,9.263554], [5606,9.162086], [4419,8.764149], [2252,8.654564], [5525,8.557822], [4778,8.487425], [572,8.396601], [2441,8.395284], [2364,8.323385])]
[2587,WrappedArray([3222,6.3415337], [2549,6.0740952], [5328,6.0596647], [775,5.7820477], [6027,5.7509003], [5756,5.705585], [4850,5.632592], [3897,5.5572047], [1307,5.526042], [4158,5.4348507])]
[3417,WrappedArray([3642,9.229689], [407,9.115886], [879,8.337486], [3379,7.809329], [878,7.541672], [3744,7.490398], [2686,7.4328184], [1541,7.2702956], [4290,7.1735654], [4938,7.079802])]
[1898,WrappedArray([3714,9.88778], [5202,9.428771], [1385,9.298937], [665,9.12803], [3703,9.061892], [700,9.041627], [1515,9.024047], [1967,8.929923], [2920,8.577657], [5245,8.567732])]
[3598,WrappedArray([2549,7.7416973], [589,7.622121], [2640,7.381198], [4,6.92718], [2977,6.894459], [3714,6.716909], [1416,6.4629636], [3214,6.449014], [1914,6.3829365], [2851,6.3549623])]
[3101,WrappedArray([158,6.665924], [775,6.5081124], [3723,6.507358], [3549,6.202472], [4264,6.190844], [745,6.1825423], [4844,6.1802025], [5003,6.179777], [5204,6.1039457], [4392,6.0813937])]
[982,WrappedArray([1416,7.3229876], [3723,7.3070903], [4358,6.68619], [745,6.5850234], [158,6.5069003], [491,6.5058994], [2252,6.4849796], [1459,6.413292], [5204,6.358205], [5207,6.3545666])]
[1104,WrappedArray([3144,7.7101436], [2640,7.414275], [4751,6.853899], [2920,6.5887575], [1515,6.4487977], [4383,6.415479], [345,6.2946954], [2252,6.2904353], [4676,6.2441263], [399,6.1512494])]
[3695,WrappedArray([206,8.392819], [4392,8.004523], [1332,7.012428], [745,7.007981], [378,6.5504503], [3480,6.5441947], [353,6.2875156], [5258,6.204022], [527,6.164263], [5803,6.000592])]
[1926,WrappedArray([1111,7.2243075], [2697,7.1634884], [4264,7.072619], [5258,6.905629], [5358,6.827907], [5328,6.762687], [3480,6.7410245], [2278,6.6997275], [1416,6.662572], [89,6.6536646])]
[3126,WrappedArray([3144,5.116402], [2694,5.063832], [1414,5.0482626], [121,5.0414567], [399,5.0251055], [1341,5.0169706], [5075,5.0161753], [283,5.0053344], [2467,4.986102], [356,4.9604845])]
[3707,WrappedArray([353,5.978326], [2452,5.9260793], [708,5.8778367], [4583,5.867591], [3222,5.864198], [4392,5.7841625], [4545,5.7290382], [2821,5.715405], [4056,5.6881156], [4850,5.5898204])]
[2498,WrappedArray([2364,5.565295], [2502,5.352536], [1145,5.225295], [75,5.185367], [653,5.050167], [1282,5.0095115], [41,4.9533324], [4199,4.9230437], [805,4.8498435], [4974,4.7274942])]
[2728,WrappedArray([4,6.7131295], [2819,6.700237], [1414,6.595251], [4236,6.5887446], [4997,6.5299306], [5004,6.3722486], [2269,6.292884], [2151,6.239862], [2640,6.175937], [2253,6.166331])]
[779,WrappedArray([3222,7.364138], [4392,6.8280306], [708,6.4942875], [1754,6.3471794], [4545,6.2291374], [5901,6.22822], [2821,6.198975], [4850,6.1251206], [353,6.0922327], [2452,6.0522504])]
[1609,WrappedArray([89,7.8501844], [4583,6.796722], [5258,6.75683], [6031,6.5926433], [3222,6.575189], [5560,6.399604], [4264,6.326486], [2697,6.321023], [775,6.16928], [642,6.1578693])]
[3639,WrappedArray([4583,5.827762], [3222,5.6688266], [4850,5.6518664], [5320,5.595265], [3169,5.4690304], [4143,5.4527936], [1221,5.3893585], [215,5.3734403], [1460,5.3062015], [640,5.279332])]
[1780,WrappedArray([1394,10.168252], [153,9.738736], [1319,9.558658], [4597,9.532871], [5525,9.446321], [5642,9.008155], [2441,9.002349], [2560,8.776177], [2400,8.632584], [4383,8.452708])]
[2350,WrappedArray([653,9.74221], [2640,9.35407], [5320,8.591382], [4672,8.565071], [2713,8.52594], [5719,8.508139], [4974,8.227155], [1967,8.085195], [1596,8.011444], [1341,7.962369])]
[3771,WrappedArray([2697,6.4130826], [3165,6.393845], [5052,6.140666], [5867,5.826188], [3571,5.753564], [642,5.7423043], [4583,5.688195], [790,5.616091], [4244,5.5488434], [5067,5.545408])]
[2172,WrappedArray([2441,4.5919795], [2640,4.1372643], [3144,4.0138803], [1341,3.9233835], [527,3.8293414], [3870,3.782634], [4236,3.762836], [799,3.7590327], [283,3.7356896], [1414,3.7312732])]
[3633,WrappedArray([2640,6.1535826], [5078,5.998919], [2869,5.9862], [144,5.936376], [1385,5.930394], [5320,5.8880877], [653,5.8692346], [1341,5.7778635], [4672,5.652407], [4997,5.6448154])]
[1094,WrappedArray([2640,7.0272236], [3144,6.2924733], [4441,6.165726], [668,5.9641433], [2037,5.789227], [5467,5.693493], [2549,5.657182], [4751,5.6375146], [2479,5.619064], [3702,5.5300856])]
[1625,WrappedArray([2821,6.1410093], [640,5.7768884], [4545,5.6981096], [3222,5.5540276], [3440,5.540588], [4583,5.5375433], [2452,5.484875], [210,5.4734454], [336,5.436204], [2048,5.425041])]
[3266,WrappedArray([1445,7.573635], [5328,6.8995185], [269,6.8076615], [1226,6.6658845], [5756,6.6057186], [2707,6.597129], [870,6.5866323], [68,6.339063], [128,6.3314185], [1596,6.295694])]
[3386,WrappedArray([3723,5.7018228], [4358,5.6353517], [1327,5.6090884], [5003,5.404573], [5204,5.400752], [2160,5.357987], [356,5.336401], [614,5.324113], [3870,5.312906], [875,5.304805])]
[3526,WrappedArray([2441,5.228483], [3723,5.1858716], [3870,5.142584], [2339,5.065244], [283,5.000878], [2252,4.973147], [3144,4.962211], [399,4.9160776], [158,4.9021955], [4068,4.879256])]
[907,WrappedArray([2640,8.779951], [527,8.340868], [4,8.114022], [2977,7.4375105], [5078,7.249338], [5241,7.209936], [3258,7.1781673], [5467,7.1400986], [3714,7.1358695], [2431,7.0824795])]
[459,WrappedArray([3222,7.1521273], [775,6.7220464], [4392,6.714499], [745,6.3583026], [4844,6.260655], [4850,6.188294], [5328,6.063294], [158,6.0333157], [4703,5.974188], [5863,5.942556])]
[509,WrappedArray([2640,7.29359], [5467,6.765483], [4,6.645033], [2851,6.380328], [3714,6.2927723], [1649,6.1826596], [589,6.168767], [1416,6.0483756], [932,5.9921837], [2549,5.9744573])]
[2129,WrappedArray([535,13.843377], [2977,12.101876], [3725,11.1628], [448,10.766564], [5901,10.759513], [3570,10.744537], [1971,10.618092], [3480,10.58534], [3784,10.574766], [3059,10.546555])]
[2839,WrappedArray([2549,9.699072], [1914,9.239657], [3744,8.527175], [794,8.235465], [1469,8.150712], [3969,8.139761], [4325,7.927024], [4969,7.907431], [1024,7.8565054], [2813,7.8556733])]
[10,WrappedArray([4583,5.589215], [640,5.5380225], [3222,5.534548], [2867,5.3311543], [1460,5.290134], [1341,5.21094], [283,5.205997], [5072,5.1999187], [3456,5.191693], [5052,5.1851897])]
[1970,WrappedArray([5141,5.9310193], [4997,5.7145157], [947,5.367146], [3149,5.3618755], [3844,5.3526144], [4894,5.319981], [3772,5.2969327], [5004,5.237887], [5243,5.209562], [395,5.179482])]
[2120,WrappedArray([3915,5.8508396], [2735,5.8232517], [809,5.3778415], [5052,5.3181705], [4801,5.3159623], [2207,5.145029], [2373,5.1305647], [582,5.109153], [1307,5.1071196], [5328,5.1001086])]
[361,WrappedArray([3723,5.915788], [3222,5.771852], [3480,5.7518167], [4844,5.5878057], [89,5.5810833], [775,5.569689], [1416,5.40283], [527,5.3903184], [2392,5.3486137], [2339,5.3369126])]
[1401,WrappedArray([2821,7.11137], [2549,6.488022], [653,6.3532977], [144,6.3430343], [2151,6.1954126], [2358,6.1757], [4594,6.120175], [365,6.1068764], [4850,6.0807514], [3633,6.07859])]
[1921,WrappedArray([2037,6.6421967], [2467,6.1275463], [2134,6.121409], [4996,6.114759], [5642,5.96694], [1596,5.819687], [3844,5.7674904], [665,5.748475], [5725,5.7100415], [5290,5.681267])]
[102,WrappedArray([4383,5.4286366], [5328,5.378816], [3915,5.3076024], [221,4.9102416], [5525,4.8754377], [1664,4.789774], [1394,4.7502227], [5214,4.7286873], [1319,4.598359], [4778,4.5162983])]
[3343,WrappedArray([775,7.502763], [745,7.076093], [3222,6.9364634], [158,6.828716], [4264,6.8139505], [4850,6.7687283], [89,6.6696515], [4392,6.6311054], [2375,6.5097055], [5297,6.4296064])]
[814,WrappedArray([3149,4.046864], [906,4.006667], [3009,3.9853594], [2694,3.9631722], [3772,3.9541066], [2357,3.8931096], [283,3.8846211], [2467,3.8785279], [4583,3.8592942], [640,3.847146])]
[1755,WrappedArray([2441,9.3164], [4936,9.105888], [527,8.965312], [2925,8.954673], [3573,8.724895], [1596,8.591112], [5152,8.573399], [353,8.572377], [484,8.465809], [89,8.456905])]
[1825,WrappedArray([1754,12.518953], [1914,11.954729], [2735,10.860704], [2549,10.287108], [589,9.947426], [2821,9.711051], [2494,9.469782], [4997,9.444666], [3633,9.42959], [4325,9.3273735])]
[3745,WrappedArray([4191,6.580182], [5328,6.5649943], [3222,6.393144], [5052,5.939859], [283,5.927098], [2467,5.8559384], [3480,5.6800084], [3298,5.602458], [1857,5.6014733], [762,5.568942])]
[1346,WrappedArray([5052,7.8336825], [3897,7.287904], [4158,6.7929344], [1385,6.6667356], [4424,6.4100533], [2697,6.21907], [3587,6.154971], [1588,6.148606], [4174,6.1423683], [3396,6.117442])]
[2226,WrappedArray([1596,3.947113], [1277,3.5431426], [283,3.5424895], [5756,3.399683], [768,3.3889651], [1341,3.3829548], [3856,3.382674], [2467,3.3607404], [3222,3.3397808], [4166,3.3267486])]
[77,WrappedArray([5642,8.433875], [1341,7.953535], [2640,7.7106605], [4199,7.6759686], [4441,7.5337734], [1596,7.408312], [41,7.353344], [866,7.284389], [4974,7.203789], [3787,7.1080155])]
[1007,WrappedArray([527,5.9332757], [3480,5.221108], [1713,5.192618], [4143,5.164834], [101,5.0663877], [2697,5.0325904], [5783,4.9720354], [283,4.93441], [5258,4.930053], [89,4.921793])]
[1647,WrappedArray([653,8.11028], [2821,7.6443915], [1385,7.261919], [2297,7.0582495], [5051,6.921853], [3897,6.826374], [2549,6.79671], [5052,6.69889], [6027,6.6655297], [2040,6.6634703])]
[2167,WrappedArray([640,6.6400423], [4056,6.149272], [4583,5.9506917], [395,5.889081], [341,5.5710993], [3254,5.5562587], [3856,5.5320325], [4191,5.5039682], [4028,5.4541254], [2954,5.452584])]
[3597,WrappedArray([4703,8.753854], [206,8.094038], [4392,7.7756085], [745,7.4512067], [3723,7.399372], [1102,7.1684113], [2530,7.093711], [89,7.069625], [4936,6.8795633], [1610,6.843406])]
[3787,WrappedArray([4441,9.203223], [41,8.76872], [668,8.094584], [1596,7.979746], [5028,7.7445774], [5010,7.7368703], [6038,7.6093397], [4125,7.4460063], [1929,7.382062], [5117,7.353366])]
[848,WrappedArray([2821,7.669969], [3222,7.3328924], [4850,7.225071], [2549,7.074212], [1989,6.6845584], [1554,6.617822], [3969,6.4519124], [5476,6.359233], [4594,6.3193045], [1460,6.2856517])]
[1098,WrappedArray([2828,3.7486684], [4427,3.6597378], [5274,3.5749772], [5125,3.554057], [2441,3.5365622], [4074,3.456684], [5725,3.408196], [4017,3.3960757], [5918,3.343333], [4597,3.266762])]
[589,WrappedArray([640,5.938814], [5030,5.5288925], [3009,5.411606], [1341,5.3887224], [2160,5.380868], [3351,5.3555865], [389,5.3536787], [2108,5.337838], [3932,5.319166], [5760,5.3173814])]
[1459,WrappedArray([653,6.2435365], [3222,6.1553087], [5072,6.061268], [2821,5.872821], [1596,5.7408586], [1341,5.640408], [5051,5.5851912], [2139,5.511659], [1460,5.510588], [1171,5.478982])]
